Plot Title: Evap Pan Level,,,,,
#,"Date Time, GMT-07:00","EV pan Level   mm, Millimeter (LGR S/N: 21620751)",Host Connected (LGR S/N: 21620751),Stopped (LGR S/N: 21620751),End Of File (LGR S/N: 21620751)
1,8/16/2023 18:49,183.573,,,
2,8/16/2023 20:49,184.75,,,
3,8/16/2023 22:49,184.541,,,
4,8/17/2023 0:49,184.366,,,
5,8/17/2023 2:49,184.396,,,
6,8/17/2023 4:49,184.374,,,
7,8/17/2023 6:49,184.257,,,
8,8/17/2023 8:49,185.577,,,
9,8/17/2023 10:49,185.924,,,
10,8/17/2023 12:49,186.169,,,
11,8/17/2023 14:49,188.381,,,
12,8/17/2023 16:49,189.592,,,
13,8/17/2023 18:49,188.974,,,
14,8/17/2023 20:49,193.193,,,
15,8/17/2023 22:49,195.073,,,
16,8/18/2023 0:49,194.879,,,
17,8/18/2023 2:49,194.759,,,
18,8/18/2023 4:49,194.623,,,
19,8/18/2023 6:49,194.477,,,
20,8/18/2023 8:49,194.982,,,
21,8/18/2023 10:49,195.164,,,
22,8/18/2023 12:49,194.879,,,
23,8/18/2023 14:49,194.188,,,
24,8/18/2023 16:49,192.795,,,
25,8/18/2023 18:49,191.412,,,
26,8/18/2023 20:49,194.539,,,
27,8/18/2023 22:49,199.988,,,
28,8/19/2023 0:49,204.219,,,
29,8/19/2023 2:49,206.518,,,
30,8/19/2023 4:49,208.325,,,
31,8/19/2023 6:49,209.93,,,
32,8/19/2023 8:49,212.365,,,
33,8/19/2023 10:49,215.667,,,
34,8/19/2023 12:49,217.818,,,
35,8/19/2023 14:49,219.386,,,
36,8/19/2023 16:49,220.644,,,
37,8/19/2023 18:49,221.825,,,
38,8/19/2023 20:49,223.2,,,
39,8/19/2023 22:49,223.923,,,
40,8/20/2023 0:49,225.423,,,
41,8/20/2023 2:49,227.328,,,
42,8/20/2023 4:49,227.895,,,
43,8/20/2023 6:49,228.275,,,
44,8/20/2023 8:49,228.688,,,
45,8/20/2023 10:49,229.087,,,
46,8/20/2023 12:49,229.764,,,
47,8/20/2023 14:49,232.18,,,
48,8/20/2023 16:49,232.849,,,
49,8/20/2023 18:49,234.488,,,
50,8/20/2023 20:49,235.958,,,
51,8/20/2023 22:49,238.931,,,
52,8/21/2023 0:49,242.793,,,
53,8/21/2023 2:49,244.964,,,
54,8/21/2023 4:49,245.473,,,
55,8/21/2023 6:49,245.842,,,
56,8/21/2023 8:49,246.307,,,
57,8/21/2023 10:49,246.69,,,
58,8/21/2023 12:49,246.928,,,
59,8/21/2023 14:49,246.704,,,
60,8/21/2023 16:49,246.083,,,
61,8/21/2023 18:49,245.451,,,
62,8/21/2023 20:49,245.052,,,
63,8/21/2023 22:49,245.078,,,
64,8/22/2023 0:49,246.247,,,
65,8/22/2023 2:49,246.317,,,
66,8/22/2023 4:49,246.474,,,
67,8/22/2023 6:49,246.587,,,
68,8/22/2023 8:49,246.785,,,
69,8/22/2023 10:49,247.575,,,
70,8/22/2023 12:49,247.67,,,
71,8/22/2023 14:49,247.191,,,
72,8/22/2023 16:49,246.386,,,
73,8/22/2023 18:49,245.729,,,
74,8/22/2023 20:49,245.249,,,
75,8/22/2023 22:49,245.082,,,
76,8/23/2023 0:49,245.004,,,
77,8/23/2023 2:49,244.917,,,
78,8/23/2023 4:49,244.657,,,
79,8/23/2023 6:49,244.606,,,
80,8/23/2023 8:49,244.712,,,
81,8/23/2023 10:49,245.004,,,
82,8/23/2023 12:49,244.844,,,
83,8/23/2023 14:49,244.251,,,
84,8/23/2023 16:49,243.399,,,
85,8/23/2023 18:49,242.243,,,
86,8/23/2023 20:49,241.713,,,
87,8/23/2023 22:49,241.417,,,
88,8/24/2023 0:49,241.165,,,
89,8/24/2023 2:49,240.989,,,
90,8/24/2023 4:49,240.605,,,
91,8/24/2023 6:49,239.519,,,
92,8/24/2023 8:49,239.984,,,
93,8/24/2023 10:49,240.159,,,
94,8/24/2023 12:49,239.71,,,
95,8/24/2023 14:49,239.186,,,
96,8/24/2023 16:49,237.998,,,
97,8/24/2023 18:49,237.234,,,
98,8/24/2023 20:49,236.806,,,
99,8/24/2023 22:49,236.492,,,
100,8/25/2023 0:49,236.115,,,
101,8/25/2023 2:49,236.017,,,
102,8/25/2023 4:49,235.486,,,
103,8/25/2023 6:49,235.354,,,
104,8/25/2023 8:49,235.281,,,
105,8/25/2023 10:49,235.863,,,
106,8/25/2023 12:49,234.177,,,
107,8/25/2023 14:49,233.021,,,
108,8/25/2023 16:49,231.698,,,
109,8/25/2023 18:49,230.341,,,
110,8/25/2023 20:49,229.2,,,
111,8/25/2023 22:49,228.487,,,
112,8/26/2023 0:49,227.574,,,
113,8/26/2023 2:49,227.032,,,
114,8/26/2023 4:49,226.03,,,
115,8/26/2023 6:49,226.049,,,
116,8/26/2023 8:49,226.21,,,
117,8/26/2023 10:49,226.546,,,
118,8/26/2023 12:49,226.231,,,
119,8/26/2023 14:49,225.218,,,
120,8/26/2023 16:49,224.231,,,
121,8/26/2023 18:49,222.801,,,
122,8/26/2023 20:49,222.128,,,
123,8/26/2023 22:49,221.653,,,
124,8/27/2023 0:49,221.138,,,
125,8/27/2023 2:49,220.709,,,
126,8/27/2023 4:49,219.437,,,
127,8/27/2023 6:49,218.662,,,
128,8/27/2023 8:49,220.366,,,
129,8/27/2023 10:49,220.428,,,
130,8/27/2023 12:49,220.107,,,
131,8/27/2023 14:49,219.645,,,
132,8/27/2023 16:49,218.176,,,
133,8/27/2023 18:49,217.225,,,
134,8/27/2023 20:49,216.164,,,
135,8/27/2023 22:49,215.481,,,
136,8/28/2023 0:49,215.023,,,
137,8/28/2023 2:49,214.344,,,
138,8/28/2023 4:49,214.095,,,
139,8/28/2023 6:49,213.828,,,
140,8/28/2023 8:49,214.274,,,
141,8/28/2023 10:49,214.267,,,
142,8/28/2023 12:49,213.985,,,
143,8/28/2023 14:49,213.286,,,
144,8/28/2023 16:49,212.281,,,
145,8/28/2023 18:49,211.231,,,
146,8/28/2023 20:49,210.233,,,
147,8/28/2023 22:49,209.513,,,
148,8/29/2023 0:49,209.107,,,
149,8/29/2023 2:49,208.72,,,
150,8/29/2023 4:49,208.43,,,
151,8/29/2023 6:49,208.259,,,
152,8/29/2023 8:49,208.285,,,
153,8/29/2023 10:49,208.061,,,
154,8/29/2023 12:49,207.473,,,
155,8/29/2023 14:49,206.2,,,
156,8/29/2023 16:49,204.906,,,
157,8/29/2023 18:49,203.411,,,
158,8/29/2023 20:49,202.097,,,
159,8/29/2023 22:49,201.359,,,
160,8/30/2023 0:49,200.759,,,
161,8/30/2023 2:49,199.995,,,
162,8/30/2023 4:49,199.746,,,
163,8/30/2023 6:49,199.432,,,
164,8/30/2023 8:49,199.973,,,
165,8/30/2023 10:49,199.091,,,
166,8/30/2023 12:49,199.468,,,
167,8/30/2023 14:49,199.571,,,
168,8/30/2023 16:49,199.135,,,
169,8/30/2023 18:49,198.412,,,
170,8/30/2023 20:49,197.161,,,
171,8/30/2023 22:49,196.766,,,
172,8/31/2023 0:49,196.254,,,
173,8/31/2023 2:49,195.837,,,
174,8/31/2023 4:49,192.645,,,
175,8/31/2023 6:49,194.485,,,
176,8/31/2023 8:49,198.057,,,
177,8/31/2023 10:49,198.916,,,
178,8/31/2023 12:49,199.782,,,
179,8/31/2023 14:49,199.315,,,
180,8/31/2023 16:49,199.369,,,
181,8/31/2023 18:49,199.549,,,
182,8/31/2023 20:49,200.035,,,
183,8/31/2023 22:49,200.471,,,
184,9/1/2023 0:49,200.477,,,
185,9/1/2023 2:49,200.777,,,
186,9/1/2023 4:49,200.803,,,
187,9/1/2023 6:49,200.905,,,
188,9/1/2023 8:49,200.792,,,
189,9/1/2023 10:49,200.471,,,
190,9/1/2023 12:49,199.885,,,
191,9/1/2023 14:49,199.176,,,
192,9/1/2023 16:49,198.595,,,
193,9/1/2023 18:49,198.269,,,
194,9/1/2023 20:49,198.646,,,
195,9/1/2023 22:49,199.387,,,
196,9/2/2023 0:49,200.225,,,
197,9/2/2023 2:49,201.146,,,
198,9/2/2023 4:49,202.185,,,
199,9/2/2023 6:49,203.088,,,
200,9/2/2023 8:49,204.558,,,
201,9/2/2023 10:49,205.553,,,
202,9/2/2023 12:49,205.754,,,
203,9/2/2023 14:49,205.996,,,
204,9/2/2023 16:49,206.2,,,
205,9/2/2023 18:49,205.611,,,
206,9/2/2023 20:49,205.45,,,
207,9/2/2023 22:49,205.446,,,
208,9/3/2023 0:49,205.728,,,
209,9/3/2023 2:49,206.156,,,
210,9/3/2023 4:49,205.074,,,
211,9/3/2023 6:49,205.454,,,
212,9/3/2023 8:49,206.73,,,
213,9/3/2023 10:49,207.513,,,
214,9/3/2023 12:49,207.246,,,
215,9/3/2023 14:49,206.643,,,
216,9/3/2023 16:49,206.628,,,
217,9/3/2023 18:49,206.463,,,
218,9/3/2023 20:49,206.489,,,
219,9/3/2023 22:49,206.788,,,
220,9/4/2023 0:49,202.119,,,
221,9/4/2023 2:49,198.166,,,
222,9/4/2023 4:49,197.852,,,
223,9/4/2023 6:49,199.117,,,
224,9/4/2023 8:49,206.16,,,
225,9/4/2023 10:49,205.919,,,
226,9/4/2023 12:49,205.955,,,
227,9/4/2023 14:49,206.091,,,
228,9/4/2023 16:49,207.557,,,
229,9/4/2023 18:49,207.279,,,
230,9/4/2023 20:49,203.155,,,
231,9/4/2023 22:49,203.52,,,
232,9/5/2023 0:49,205.937,,,
233,9/5/2023 2:49,205.958,,,
234,9/5/2023 4:49,202.347,,,
235,9/5/2023 6:49,202.302,,,
236,9/5/2023 8:49,204.66,,,
237,9/5/2023 10:49,199.798,,,
238,9/5/2023 12:49,200.079,,,
239,9/5/2023 14:49,200.068,,,
240,9/5/2023 16:49,199.6,,,
241,9/5/2023 18:49,198.946,,,
242,9/5/2023 20:49,198.887,,,
243,9/5/2023 22:49,198.16,,,
244,9/6/2023 0:49,197.332,,,
245,9/6/2023 2:49,200.59,,,
246,9/6/2023 4:49,200.862,,,
247,9/6/2023 6:49,202.679,,,
248,9/6/2023 8:49,205.03,,,
249,9/6/2023 10:49,203.637,,,
250,9/6/2023 12:49,203.629,,,
251,9/6/2023 14:49,203.399,,,
252,9/6/2023 16:49,202.661,,,
253,9/6/2023 18:49,201.652,,,
254,9/6/2023 20:49,195.238,,,
255,9/6/2023 22:49,195.395,,,
256,9/7/2023 0:49,197.6,,,
257,9/7/2023 2:49,194.481,,,
258,9/7/2023 4:49,196.846,,,
259,9/7/2023 6:49,202.986,,,
260,9/7/2023 8:49,203.139,,,
